ID,Kanji JLPT,Level JLPT,Kanji Kanken,Level Kanken
1,一,N5,一,Cấp 10
2,二,N5,二,Cấp 10
3,三,N5,三,Cấp 10
4,四,N5,四,Cấp 10
5,五,N5,五,Cấp 10
6,六,N5,六,Cấp 10
7,七,N5,七,Cấp 10
8,八,N5,八,Cấp 10
9,九,N5,九,Cấp 10
10,十,N5,十,Cấp 10
11,百,N5,百,Cấp 10
12,千,N5,千,Cấp 10
13,万,N5,万,Cấp 9
14,円,N5,円,Cấp 10
15,月,N5,月,Cấp 10
16,火,N5,火,Cấp 10
17,水,N5,水,Cấp 10
18,木,N5,木,Cấp 10
19,金,N5,金,Cấp 10
20,土,N5,土,Cấp 10
21,日,N5,日,Cấp 10
22,年,N5,年,Cấp 10
23,人,N5,人,Cấp 10
24,口,N5,口,Cấp 10
25,目,N5,目,Cấp 10
26,耳,N5,耳,Cấp 10
27,手,N5,手,Cấp 10
28,足,N5,足,Cấp 10
29,力,N5,力,Cấp 10
30,王,N5,王,Cấp 10
31,山,N5,山,Cấp 10
32,川,N5,川,Cấp 10
33,田,N5,田,Cấp 10
34,石,N5,石,Cấp 10
35,花,N5,花,Cấp 10
36,竹,N5,竹,Cấp 10
37,雨,N5,雨,Cấp 10
38,虫,N5,虫,Cấp 10
39,上,N5,上,Cấp 10
40,下,N5,下,Cấp 10
41,左,N5,左,Cấp 10
42,右,N5,右,Cấp 10
43,外,N5,外,Cấp 9
44,内,N5,内,Cấp 9
45,中,N5,中,Cấp 10
46,学,N5,学,Cấp 10
47,校,N5,校,Cấp 10
48,先,N5,先,Cấp 10
49,生,N5,生,Cấp 10
50,名,N5,名,Cấp 10
51,字,N5,字,Cấp 10
52,本,N5,本,Cấp 10
53,休,N5,休,Cấp 10
54,大,N5,大,Cấp 10
55,小,N5,小,Cấp 10
56,高,N5,高,Cấp 9
57,友,N5,友,Cấp 9
58,入,N5,入,Cấp 10
59,出,N5,出,Cấp 10
60,門,N5,門,Cấp 9
61,体,N5,体,Cấp 9
62,父,N5,父,Cấp 9
63,母,N5,母,Cấp 9
64,子,N5,子,Cấp 10
65,男,N5,男,Cấp 10
66,女,N5,女,Cấp 10
67,犬,N5,犬,Cấp 10
68,立,N5,立,Cấp 10
69,見,N5,見,Cấp 10
70,聞,N5,聞,Cấp 9
71,行,N5,行,Cấp 9
72,来,N5,来,Cấp 9
73,帰,N5,帰,Cấp 9
74,米,N5,米,Cấp 9
75,茶,N5,茶,Cấp 9
76,牛,N5,牛,Cấp 9
77,肉,N5,肉,Cấp 9
78,魚,N5,魚,Cấp 9
79,貝,N5,貝,Cấp 10
80,好,N5,好,Cấp 7
81,物,N5,物,Cấp 8
82,時,N5,時,Cấp 9
83,間,N5,間,Cấp 9
84,半,N5,半,Cấp 9
85,分,N5,分,Cấp 9
86,今,N5,今,Cấp 9
87,何,N5,何,Cấp 9
88,夕,N5,夕,Cấp 10
89,方,N5,方,Cấp 9
90,林,N5,林,Cấp 10
91,森,N5,森,Cấp 10
92,畑,N5,畑,Cấp 8
93,岩,N5,岩,Cấp 9
94,音,N5,音,Cấp 10
95,明,N5,明,Cấp 9
96,暗,N5,暗,Cấp 8
97,言,N5,言,Cấp 9
98,書,N5,書,Cấp 9
99,読,N5,読,Cấp 9
100,話,N5,話,Cấp 9
101,食,N5,食,Cấp 9
102,飲,N5,飲,Cấp 8
103,買,N5,買,Cấp 9
104,町,N5,町,Cấp 10
105,寺,N5,寺,Cấp 9
106,電,N5,電,Cấp 9
107,車,N5,車,Cấp 10
108,東,N5,東,Cấp 9
109,西,N5,西,Cấp 9
110,南,N5,南,Cấp 9
111,北,N5,北,Cấp 9
112,新,N5,新,Cấp 9
113,古,N5,古,Cấp 9
114,長,N5,長,Cấp 9
115,安,N5,安,Cấp 8
116,多,N5,多,Cấp 9
117,少,N5,少,Cấp 9
118,元,N5,元,Cấp 9
119,気,N5,気,Cấp 10
120,家,N4,家,Cấp 9
121,族,N4,族,Cấp 8
122,兄,N4,兄,Cấp 9
123,弟,N4,弟,Cấp 9
124,姉,N4,姉,Cấp 9
125,妹,N4,妹,Cấp 9
126,私,N4,私,Cấp 5
127,育,N4,育,Cấp 8
128,部,N4,部,Cấp 8
129,屋,N4,屋,Cấp 8
130,広,N4,広,Cấp 9
131,低,N4,低,Cấp 7
132,近,N4,近,Cấp 9
133,遠,N4,遠,Cấp 9
134,静,N4,静,Cấp 7
135,洋,N4,洋,Cấp 8
136,服,N4,服,Cấp 8
137,短,N4,短,Cấp 8
138,玉,N4,玉,Cấp 10
139,毛,N4,毛,Cấp 9
140,糸,N4,糸,Cấp 10
141,光,N4,光,Cấp 9
142,衣,N4,衣,Cấp 7
143,店,N4,店,Cấp 9
144,客,N4,客,Cấp 8
145,親,N4,親,Cấp 9
146,切,N4,切,Cấp 9
