kanji,jlpt,onyomi,kunyomi,meanings
氏,N1,shi シ,uji うじ,"family name, surname, clan"
統,N1,tou トウ,su(beru) す(べる),"ruling, governing"
基,N1,ki キ,"moto
motoi もと
もとい","fundamentals, counter for machines, foundation"
価,N1,ka カ,atai あたい,"value, price"
提,N1,tei テイ,sa(geru) さ(げる),"propose, take along, carry in hand"
挙,N1,kyo キョ,"a(geru)
kozo(ru) あ(げる)
こぞ(る)","raise, plan, project, behavior, actions"
応,N1,ou オウ,kota(eru) こた(える),"apply, answer, yes, OK, reply, accept"
企,N1,ki キ,"kuwada(teru)
takura(mu) くわだ(てる)
たくら(む)","undertake, scheme, design, attempt, plan"
検,N1,ken ケン,shira(beru) しら(べる),"examination, investigate"
藤,N1,tou トウ,fuji ふじ,wisteria
沢,N1,taku タク,sawa さわ,"swamp, marsh, brilliance, grace"
裁,N1,sai サイ,"ta(tsu)
saba(ku) た(つ)
さば(く)","tailor, judge, decision, cut out (pattern)"
証,N1,shou ショウ,akashi あかし,"evidence, proof, certificate"
援,N1,en エン,,"abet, help, save"
可,N1,ka カ,be(ki) べ(き),"can, passable, mustn't, should not"
施,N1,"shi
se シ
セ",hodoko(su) ほどこ(す),"give, bestow, perform, alms"
井,N1,"sei
shou セイ
ショウ",i い,"well, well crib, town, community"
護,N1,go ゴ,mamo(ru) まも(る),"safeguard, protect"
展,N1,ten テン,,"unfold, expand"
態,N1,tai タイ,waza(to) わざ(と),"attitude, condition"
鮮,N1,sen セン,aza(yaka) あざ(やか),"fresh, vivid, clear"
視,N1,shi シ,mi(ru) み(る),"inspection, regard as, see, look at"
条,N1,"jou
chou
deki ジョウ
チョウ
デキ","eda
suji えだ
すじ","article, clause, counter for articles"
幹,N1,kan カン,miki みき,"tree trunk, main part, talent, capability"
独,N1,doku ドク,hito(ri) ひと(り),"single, alone, spontaneously"
宮,N1,"kyuu
guu
ku キュウ
グウ
ク",miya みや,"Shinto shrine, constellations, palace, princess"
率,N1,"sotsu
ritsu ソツ
リツ",hiki(iru) ひき(いる),"ratio, rate, proportion, %, factor, lead"
衛,N1,ei エイ,,"defense, protection"
張,N1,chou チョウ,ha(ru) は(る),"lengthen, counter for bows & stringed instruments, stretch, spread, put up (tent)"
監,N1,kan カン,,"oversee, official, govt office, rule, administer"
環,N1,kan カン,wa わ,"ring, circle, link, wheel"
審,N1,shin シン,"tsumabi(raka)
tsubusa(ni) つまび(らか)
つぶさ(に)","hearing, judge, trial"
義,N1,gi ギ,,"righteousness, justice, morality, honor, loyalty, meaning"
訴,N1,so ソ,utta(eru) うった(える),"accusation, sue, complain of pain, appeal to"
株,N1,shu シュ,kabu かぶ,"stocks, stump, shares, stock, counter for small plants"
姿,N1,shi シ,sugata すがた,"figure, form, shape"
閣,N1,kaku カク,,"tower, tall building, palace"
韓,N1,kan カン,"kara
igeta から
いげた",Korea
衆,N1,"shuu
shu シュウ
シュ",oo(i) おお(い),"masses, great numbers, multitude, populace"
評,N1,hyou ヒョウ,,"evaluate, criticism, comment"
岡,N1,kou コウ,oka おか,"mount, hill, knoll"
影,N1,ei エイ,kage かげ,"shadow, silhouette, phantom"
松,N1,shou ショウ,matsu まつ,pine tree
撃,N1,geki ゲキ,u(tsu) う(つ),"beat, attack, defeat, conquer"
佐,N1,sa サ,,"assistant, help"
核,N1,kaku カク,,"nucleus, core, kernel"
整,N1,sei セイ,totono(eru) ととの(える),"organize, arranging, tune, tone, meter, key (music)"
融,N1,yuu ユウ,to(keru) と(ける),"dissolve, melt"
製,N1,sei セイ,,"made in..., manufacture"
票,N1,hyou ヒョウ,,"ballot, label, ticket, sign"
渉,N1,shou ショウ,wata(ru) わた(る),"ford, go cross, transit, ferry, import, involve"
響,N1,kyou キョウ,hibi(ku) ひび(く),"echo, sound, resound, ring, vibrate"
推,N1,sui スイ,o(su) お(す),"conjecture, infer, guess, suppose, support, push (for)"
請,N1,"sei
shin
shou セイ
シン
ショウ","ko(u)
u(keru) こ(う)
う(ける)","solicit, invite, ask"
器,N1,ki キ,utsuwa うつわ,"utensil, vessel, receptacle, implement, instrument, ability, container, tool, set"
士,N1,shi シ,samurai さむらい,"gentleman, scholar, samurai"
討,N1,tou トウ,u(tsu) う(つ),"chastise, attack, defeat, destroy, conquer"
攻,N1,kou コウ,se(meru) せ(める),"aggression, attack, criticize, polish"
崎,N1,ki キ,"saki
sai
misaki さき
さい
みさき","promontory, cape, spit"
督,N1,toku トク,,"coach, command, urge, lead, supervise"
授,N1,ju ジュ,sazu(keru) さず(ける),"impart, instruct, grant, confer"
催,N1,sai サイ,"moyou(su)
moyoo(su) もよう(す)
もよお(す)","sponsor, hold (a meeting), give (a dinner)"
及,N1,kyuu キュウ,"oyo(bu)
oyobi およ(ぶ)
および","reach out, exert, exercise, cause"
憲,N1,ken ケン,,"constitution, law"
離,N1,ri リ,hana(reru) はな(れる),"detach, separation, disjoin, digress"
激,N1,geki ゲキ,hage(shii) はげ(しい),"violent, get excited, enraged, chafe, incite"
摘,N1,teki テキ,tsu(mu) つ(む),"pinch, pick, pluck, trim, clip, summarize"
系,N1,kei ケイ,,"lineage, system"
批,N1,hi ヒ,,"criticism, strike"
郎,N1,"rou ロウ
リョウ",otoko おとこ,"son, counter for sons"
健,N1,ken ケン,suko(yaka) すこ(やか),"healthy, health, strength, persistence"
従,N1,"juu
shou
ju ジュウ
ショウ
ジュ","shitaga(u)
yori したが(う)
より","accompany, obey, submit to, comply, follow, secondary, incidental, subordinate"
修,N1,"shuu
shu シュウ
シュ",osa(meru) おさ(める),"discipline, conduct oneself well, study, master"
隊,N1,tai タイ,,"regiment, party, company, squad"
織,N1,"shoku
shiki ショク
シキ","o(ru)
ori
-ori
-o(ri) お(る)
おり
-おり
-お(り)","weave, fabric"
拡,N1,"kaku
kou カク
コウ",hiro(garu) ひろ(がる),"broaden, extend, expand, enlarge"
故,N1,ko コ,"yue
furu(i)
moto ゆえ
ふる(い)
もと","happenstance, especially, intentionally, reason, cause, circumstances, the late, therefore"
振,N1,shin シン,fu(ru) ふ(る),"shake, wave, wag, swing"
弁,N1,"ben
hen ベン
ヘン","kanmuri
wakima(eru)
wa(keru)
hanabira かんむり
わきま(える)
わ(ける)
はなびら","valve, petal, braid, speech, dialect, discrimination, dispose of, distinguish, conical cap"
就,N1,"shuu
ju シュウ
ジュ",tsu(ku) つ(く),"concerning, settle, take position, depart, study, per"
異,N1,i イ,"koto
koto(naru)
ke こと
こと(なる)
け","uncommon, different, queerness, strangeness, wonderful, curious, unusual"
献,N1,"ken
kon ケン
コン",tatematsu(ru) たてまつ(る),"offering, counter for drinks, present, offer"
厳,N1,"gen
gon ゲン
ゴン","ogoso(ka)
kibi(shii)
ika(meshii)
itsukushi おごそ(か)
きび(しい)
いか(めしい)
いつくし","stern, strictness, severity, rigidity"
維,N1,i イ,,"fiber, tie, rope"
浜,N1,hin ヒン,hama はま,"seacoast, beach, seashore"
遺,N1,"i
yui イ
ユイ",noko(su) のこ(す),"bequeath, leave behind, reserve"
塁,N1,"rui
rai
sui ルイ
ライ
スイ",toride とりで,"bases, fort, rampart, walls, base(ball)"
邦,N1,hou ホウ,kuni くに,"home country, country, Japan"
素,N1,"so
su ソ
ス",moto もと,"elementary, principle, naked, uncovered"
遣,N1,ken ケン,"tsuka(u)
-tsuka(i)
-dzuka(i)
ya(ru) つか(う)
-つか(い)
-づか(い)
や(る)","dispatch, despatch, send, give, donate, do, undertake"
抗,N1,kou コウ,araga(u) あらが(う),"confront, resist, defy, oppose"
模,N1,"mo
bo モ
ボ",,"imitation, copy, mock"
雄,N1,yuu ユウ,"o-
osu
on お-
おす
おん","masculine, male, hero, leader, superiority, excellence"
益,N1,"eki
yaku エキ
ヤク",ma(su) ま(す),"benefit, gain, profit, advantage"
緊,N1,kin キン,shi(meru) し(める),"tense, solid, hard, reliable, tight"
標,N1,hyou ヒョウ,"shirube
shirushi しるべ
しるし","signpost, seal, mark, stamp, imprint, symbol, emblem, trademark, evidence, souvenir"
宣,N1,sen セン,notama(u) のたま(う),"proclaim, say, announce"
昭,N1,shou ショウ,,"shining, bright"
