kanji,jlpt,onyomi,kunyomi
氏,N1,シ,うじ;-うじ
統,N1,トウ,す.べる
第,N1,ダイ;テイ,
派,N1,ハ,
挙,N1,キョ,あ.げる;あ.がる;こぞ.る
宮,N1,キュウ;グウ;ク;クウ,みや
策,N1,サク,
提,N1,テイ;チョウ;ダイ,さ.げる
結,N1,ケツ;ケチ,むす.ぶ;ゆ.う;ゆ.わえる
井,N1,セイ;ショウ,い
保,N1,ホ;ホウ,たも.つ
証,N1,ショウ,あかし
案,N1,アン,つくえ
護,N1,ゴ,まも.る
態,N1,タイ,わざ.と
裁,N1,サイ,た.つ;さば.く
幹,N1,カン,みき
松,N1,ショウ,まつ
佐,N1,サ,
票,N1,ヒョウ,
衛,N1,エイ;エ,
義,N1,ギ,
昭,N1,ショウ,
崎,N1,キ,さき;さい;みさき
視,N1,シ,み.る
企,N1,キ,くわだ.てる;たくら.む
藤,N1,トウ;ドウ,ふじ
沢,N1,タク,さわ;うるお.い;うるお.す;つや
基,N1,キ,もと;もとい
隊,N1,タイ,
援,N1,エン,
価,N1,カ;ケ,あたい
施,N1,シ;セ,ほどこ.す
矢,N1,シ,や
株,N1,シュ,かぶ
士,N1,シ,さむらい
姿,N1,シ,すがた
応,N1,オウ;ヨウ;-ノウ,あた.る;まさに;こた.える
閣,N1,カク,
衆,N1,シュウ;シュ,おお.い
鮮,N1,セン,あざ.やか
整,N1,セイ,ととの.える;ととの.う
検,N1,ケン,しら.べる
織,N1,ショク;シキ,お.る;お.り;おり;-おり;-お.り
推,N1,スイ,お.す
弁,N1,ベン;ヘン,かんむり;わきま.える;わ.ける;はなびら;あらそ.う
討,N1,トウ,う.つ
博,N1,ハク;バク,
監,N1,カン,
審,N1,シン,つまび.らか;つぶさ.に
素,N1,ソ;ス,もと
憲,N1,ケン,
激,N1,ゲキ,はげ.しい
奈,N1,ナ;ナイ;ダイ,いかん;からなし
益,N1,エキ;ヤク,ま.す
系,N1,ケイ,
訴,N1,ソ,うった.える
功,N1,コウ;ク,いさお
盟,N1,メイ,
養,N1,ヨウ;リョウ,やしな.う
街,N1,ガイ;カイ,まち
詩,N1,シ,うた
刀,N1,トウ,かたな;そり
弓,N1,キュウ,ゆみ
従,N1,ジュウ;ショウ;ジュ,したが.う;したが.える;より
条,N1,ジョウ;チョウ;デキ,えだ;すじ
独,N1,ドク;トク,ひと.り
興,N1,コウ;キョウ,おこ.る;おこ.す
影,N1,エイ,かげ
沖,N1,チュウ,おき;おきつ;ちゅう.する;わく
就,N1,シュウ;ジュ,つ.く;つ.ける
撃,N1,ゲキ,う.つ
核,N1,カク,
厳,N1,ゲン;ゴン,おごそ.か;きび.しい;いか.めしい;いつくし
鹿,N1,ロク,しか;か
率,N1,ソツ;リツ;シュツ,ひき.いる
融,N1,ユウ,と.ける;と.かす
郡,N1,グン,こおり
遺,N1,イ;ユイ,のこ.す
紀,N1,キ,
丁,N1,チョウ;テイ;チン;トウ;チ,ひのと
渉,N1,ショウ,わた.る
模,N1,モ;ボ,
響,N1,キョウ,ひび.く
張,N1,チョウ,は.る;-は.り;-ば.り
汽,N1,キ,
宣,N1,セン,のたま.う
請,N1,セイ;シン;ショウ,こ.う;う.ける
器,N1,キ,うつわ
典,N1,テン;デン,ふみ;のり
展,N1,テン,
賀,N1,ガ,
攻,N1,コウ,せ.める
豆,N1,トウ;ズ,まめ;まめ-
盛,N1,セイ;ジョウ,も.る;さか.る;さか.ん
督,N1,トク,
催,N1,サイ,もよう.す;もよお.す
縄,N1,ジョウ,なわ;ただ.す
皇,N1,コウ;オウ,
臨,N1,リン,のぞ.む
及,N1,キュウ,およ.ぶ;およ.び;および;およ.ぼす
徳,N1,トク,
帳,N1,チョウ,とばり
熊,N1,ユウ,くま
源,N1,ゲン,みなもと
離,N1,リ,はな.れる;はな.す
創,N1,ソウ;ショウ,つく.る;はじ.める;きず;けず.しける
障,N1,ショウ,さわ.る
倉,N1,ソウ,くら
筋,N1,キン,すじ
唱,N1,ショウ,とな.える
摘,N1,テキ,つ.む
評,N1,ヒョウ,
郎,N1,ロウ;リョウ,おとこ
属,N1,ゾク;ショク,さかん;つく;やから
健,N1,ケン,すこ.やか
級,N1,キュウ,
旗,N1,キ,はた
潟,N1,セキ,かた;-がた
製,N1,セイ,
災,N1,サイ,わざわ.い
密,N1,ミツ,ひそ.か
振,N1,シン,ふ.る;ふ.れる;ふ.るう
梅,N1,バイ,うめ
我,N1,ガ,われ;わ;わ.が-;わが-
幕,N1,マク;バク,とばり
染,N1,セン,そ.める;そ.まる;し.みる;し.み
傷,N1,ショウ,きず;いた.む;いた.める
献,N1,ケン;コン,たてまつ.る
謝,N1,シャ,あやま.る
維,N1,イ,
浜,N1,ヒン,はま
秘,N1,ヒ,ひ.める;ひそ.か;かく.す
塁,N1,ルイ;ライ;スイ,とりで
邦,N1,ホウ,くに
遣,N1,ケン,つか.う;-つか.い;-づか.い;つか.わす;や.る
梨,N1,リ,なし
抗,N1,コウ,あらが.う
授,N1,ジュ,さず.ける;さず.かる
雄,N1,ユウ,お-;おす;おん
緊,N1,キン,し.める;し.まる
牧,N1,ボク,まき
縮,N1,シュク,ちぢ.む;ちぢ.まる;ちぢ.める;ちぢ.れる;ちぢ.らす
標,N1,ヒョウ,しるべ;しるし
羊,N1,ヨウ,ひつじ
廃,N1,ハイ,すた.れる;すた.る
射,N1,シャ,い.る;さ.す;う.つ
江,N1,コウ,え
僚,N1,リョウ,
揮,N1,キ,ふる.う
吉,N1,キチ;キツ,よし
岐,N1,キ;ギ,
径,N1,ケイ,みち;こみち;さしわたし;ただちに
笛,N1,テキ,ふえ
踏,N1,トウ,ふ.む;ふ.まえる
序,N1,ジョ,つい.で;ついで
壊,N1,カイ;エ,こわ.す;こわ.れる;やぶ.る
貴,N1,キ,たっと.い;とうと.い;たっと.ぶ;とうと.ぶ
債,N1,サイ,
舎,N1,シャ;セキ,やど.る
儀,N1,ギ,
納,N1,ノウ;ナッ;ナ;ナン;トウ,おさ.める;-おさ.める;おさ.まる
樹,N1,ジュ,き
継,N1,ケイ,つ.ぐ;まま-
至,N1,シ,いた.る
宗,N1,シュウ;ソウ,むね
闘,N1,トウ,たたか.う;あらそ.う
鏡,N1,キョウ;ケイ,かがみ
修,N1,シュウ;シュ,おさ.める;おさ.まる
葬,N1,ソウ,ほうむ.る
避,N1,ヒ,さ.ける;よ.ける
銭,N1,セン;ゼン,ぜに;すき
司,N1,シ,つかさど.る
康,N1,コウ,
酸,N1,サン,す.い
